hour, area_fract, flame, smolder, residual
0, 0.000000, 0.000000, 0.000000, 0.000000
1, 0.000000, 0.000000, 0.000000, 0.000000
2, 0.000000, 0.000000, 0.000000, 0.000000
3, 0.000000, 0.000000, 0.000000, 0.000000
4, 0.000000, 0.000000, 0.000000, 0.000000
5, 0.000000, 0.000000, 0.000000, 0.000000
6, 0.000000, 0.000000, 0.000000, 0.000000
7, 0.000000, 0.000000, 0.000000, 0.000000
8, 0.000000, 0.000000, 0.000000, 0.000000
9, 0.000000, 0.000000, 0.000000, 0.000000
10, 0.111111, 0.111098, 0.070771, 0.011113
11, 0.111111, 0.111111, 0.084907, 0.022508
12, 0.111111, 0.111111, 0.096901, 0.033989
13, 0.111111, 0.111111, 0.107585, 0.045343
14, 0.111111, 0.111111, 0.116720, 0.056350
15, 0.111111, 0.111111, 0.124080, 0.066791
16, 0.111111, 0.111111, 0.129484, 0.076451
17, 0.111111, 0.111111, 0.132799, 0.085128
18, 0.111111, 0.111111, 0.133944, 0.092640
19, 0.000000, 0.000013, 0.002752, 0.078392
20, 0.000000, 0.000000, 0.000057, 0.066335
21, 0.000000, 0.000000, 0.000001, 0.056132
22, 0.000000, 0.000000, 0.000000, 0.047499
23, 0.000000, 0.000000, 0.000000, 0.040193
24, 0.000000, 0.000000, 0.000000, 0.034011
25, 0.000000, 0.000000, 0.000000, 0.028780
26, 0.000000, 0.000000, 0.000000, 0.024354
27, 0.000000, 0.000000, 0.000000, 0.020608
28, 0.000000, 0.000000, 0.000000, 0.017438
29, 0.000000, 0.000000, 0.000000, 0.014756
30, 0.000000, 0.000000, 0.000000, 0.012487
31, 0.000000, 0.000000, 0.000000, 0.010566
32, 0.000000, 0.000000, 0.000000, 0.008941
33, 0.000000, 0.000000, 0.000000, 0.007566
34, 0.000000, 0.000000, 0.000000, 0.006402
35, 0.000000, 0.000000, 0.000000, 0.005418
36, 0.000000, 0.000000, 0.000000, 0.004584
37, 0.000000, 0.000000, 0.000000, 0.003879
38, 0.000000, 0.000000, 0.000000, 0.003283
39, 0.000000, 0.000000, 0.000000, 0.002778
40, 0.000000, 0.000000, 0.000000, 0.002350
41, 0.000000, 0.000000, 0.000000, 0.001989
42, 0.000000, 0.000000, 0.000000, 0.001683
43, 0.000000, 0.000000, 0.000000, 0.001424
44, 0.000000, 0.000000, 0.000000, 0.001205
45, 0.000000, 0.000000, 0.000000, 0.001020
46, 0.000000, 0.000000, 0.000000, 0.000863
47, 0.000000, 0.000000, 0.000000, 0.000730
