id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,VEG,canopy,fccs_number,timezone
20170908_f1,20170908_f1,34.0625751393,-93.4594702991,WF,420.0,201709080000-05:00,10.0,AR,USA,05109,2810001000,1.2,0.84,0.25,0.5,0.0,0.0,2.0,0.09,1.0,1.0,0.02,7.0,8.0,9.0,12.0,80.0,40.0,6.74755082331,0.745880598229,0.267206072819,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,12619835779.937805,27.708163,32.69563700000001,292.884477,5267.953367000002,15.024568999999996,7.244559,4.87009,3.194287,70.00745699999997,Loblolly pine - Slash pine forest,3.17,161,-6.0
20170908_f10,20170908_f10,45.5916692597,-115.96536234,WF,276.0,201709080000-07:00,10.0,ID,USA,16049,2810001000,0.3,1.2,2.5,12.0,7.0,0.0,1.11,0.14,14.2,1.2,0.06,7.0,8.0,9.0,12.0,80.0,40.0,22.3092947139,13.9895871641,11.4259617425,3.78399884055,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,18,5,8,23276046659.504402,161.49397299999995,190.56287500000002,1916.0258199999996,19929.83220399999,92.74209799999997,21.270174,31.352271000000005,12.908612000000002,450.68891199999996,Subalpine fir - Lodgepole pine - Whitebark pine - Engelmann spruce forest,9.55,70,-8.0
20170908_f100,20170908_f100,31.999999997,-85.7159999971,WF,122.0,201709080000-05:00,10.0,AL,USA,01011,2810001000,1.2,0.84,0.25,0.5,0.0,0.0,2.0,0.09,1.0,1.0,0.02,7.0,8.0,9.0,12.0,80.0,40.0,6.74755082331,0.745880598229,0.267206072819,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,18,5,8,2047106310.856583,8.048568000000001,9.49731,85.075956,1530.215032,4.3642769999999995,2.1043740000000004,1.4146510000000003,0.9278499999999998,20.335501000000004,Loblolly pine - Slash pine forest,3.17,161,-6.0
20170908_f101,20170908_f101,32.982999979,-90.9419999825,WF,100.0,201709080000-05:00,10.0,MS,USA,28125,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.49737652765,0.454668999086,0.377699375083,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1103630092.0358207,4.658481,5.497014,49.78088200000001,857.887798,2.539376,1.163939,0.826452,0.522313,11.880187000000001,Default Unknown Fuel Type,0.0,0,-6.0
20170908_f102,20170908_f102,32.003999997,-85.7229999971,WF,122.0,201709080000-05:00,10.0,AL,USA,01011,2810001000,1.2,0.84,0.25,0.5,0.0,0.0,2.0,0.09,1.0,1.0,0.02,7.0,8.0,9.0,12.0,80.0,40.0,6.74755082331,0.745880598229,0.267206072819,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,18,5,8,2047106310.856583,8.048568000000001,9.49731,85.075956,1530.215032,4.3642769999999995,2.1043740000000004,1.4146510000000003,0.9278499999999998,20.335501000000004,Loblolly pine - Slash pine forest,3.17,161,-6.0
20170908_f103,20170908_f103,31.4876159778,-83.3360189223,WF,75.0,201709080000-04:00,10.0,GA,USA,13155,2810001000,0.1,0.2,1.5,1.5,1.5,0.0,1.9,0.01,1.0,1.0,0.0,7.0,8.0,9.0,12.0,80.0,40.0,15.7335156015,1.95762576327,0.872007034039,0.14628,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,2810025958.115379,12.120185,14.301826,129.317157,2242.3114920000003,6.601868000000001,3.0483219999999998,2.1473560000000003,1.3643949999999996,30.868389,Willow oak - Laurel oak - Water oak forest,23.15,283,-5.0
20170908_f104,20170908_f104,33.0019999789,-90.8199999824,WF,100.0,201709080000-05:00,10.0,MS,USA,28125,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.49737652765,0.454668999086,0.377699375083,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1103630092.0358207,4.658481,5.497014,49.78088200000001,857.887798,2.539376,1.163939,0.826452,0.522313,11.880187000000001,Default Unknown Fuel Type,0.0,0,-6.0
20170908_f105,20170908_f105,31.9439999783,-84.9889999786,WF,100.0,201709080000-04:00,10.0,GA,USA,13259,2810001000,1.2,0.84,0.25,0.5,0.0,0.0,2.0,0.09,1.0,1.0,0.02,7.0,8.0,9.0,12.0,80.0,40.0,6.74755082331,0.745880598229,0.267206072819,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,1659395042.285418,6.597183999999999,7.78468,69.73439800000001,1254.2746080000002,3.577271,1.724894,1.1595360000000003,0.7605400000000001,16.668442999999996,Loblolly pine - Slash pine forest,3.17,161,-5.0
20170908_f106,20170908_f106,31.9529999783,-84.9799999786,WF,100.0,201709080000-04:00,10.0,GA,USA,13259,2810001000,0.6,1.2,1.6,1.5,1.8,0.0,0.4,0.06,0.8,1.0,0.024,7.0,8.0,9.0,12.0,80.0,40.0,14.2232632013,1.70128174403,0.48573190507,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,3505438082.293958,13.991986,16.510545000000004,148.07656199999997,2651.080254000001,7.591428,3.6406169999999998,2.461781999999999,1.608199,35.388217999999995,Southern Coastal Plain dry upland hardwood forest,18.2,407,-5.0
20170908_f107,20170908_f107,32.7259999786,-89.0469999809,WF,122.0,201709080000-05:00,10.0,MS,USA,28099,2810001000,1.2,0.84,0.25,0.5,0.0,0.0,2.0,0.09,1.0,1.0,0.02,7.0,8.0,9.0,12.0,80.0,40.0,6.74755082331,0.745880598229,0.267206072819,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,2047106310.856583,8.048568000000001,9.49731,85.075956,1530.215032,4.3642769999999995,2.1043740000000004,1.4146510000000003,0.9278499999999998,20.335501000000004,Loblolly pine - Slash pine forest,3.17,161,-6.0
20170908_f108,20170908_f108,33.0299999788,-90.8399999823,WF,100.0,201709080000-05:00,10.0,MS,USA,28125,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.49737652765,0.454668999086,0.377699375083,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1103630092.0358207,4.658481,5.497014,49.78088200000001,857.887798,2.539376,1.163939,0.826452,0.522313,11.880187000000001,Default Unknown Fuel Type,0.0,0,-6.0
20170908_f109,20170908_f109,32.7659999782,-88.7109999806,WF,122.0,201709080000-05:00,10.0,MS,USA,28069,2810001000,1.2,0.84,0.25,0.5,0.0,0.0,2.0,0.09,1.0,1.0,0.02,7.0,8.0,9.0,12.0,80.0,40.0,6.74755082331,0.745880598229,0.267206072819,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,2047106310.856583,8.048568000000001,9.49731,85.075956,1530.215032,4.3642769999999995,2.1043740000000004,1.4146510000000003,0.9278499999999998,20.335501000000004,Loblolly pine - Slash pine forest,3.17,161,-6.0
20170908_f11,20170908_f11,45.2576227112,-115.201972616,WF,598.0,201709080000-06:00,10.0,ID,USA,16049,2810001000,0.4,0.9,0.4,0.4,1.1,0.6,0.22,0.15,2.8,1.1,0.06,7.0,8.0,9.0,12.0,80.0,40.0,12.5342169728,4.11581184289,3.07629591419,2.67918384103,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,48400585542.382195,126.09921000000001,148.79706199999998,1441.8751779999996,18356.733999,71.07374499999999,22.044204000000008,23.710933,11.560420999999998,340.84471399999995,Douglas-fir - ponderosa pine forest,13.52,52,-7.0
20170908_f110,20170908_f110,33.4894999894,-92.6080000667,WF,140.0,201709080000-05:00,10.0,AR,USA,05013,2810001000,1.2,0.84,0.25,0.5,0.0,0.0,2.0,0.09,1.0,1.0,0.02,7.0,8.0,9.0,12.0,80.0,40.0,6.74755082331,0.745880598229,0.267206072819,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,2374824986.070544,9.236048999999998,10.898547,97.62815099999999,1755.9844500000004,5.008197999999999,2.4148589999999994,1.623358,1.0647550000000001,23.335818999999997,Loblolly pine - Slash pine forest,3.17,161,-6.0
20170908_f111,20170908_f111,33.0975442959,-90.8433518942,WF,400.0,201709080000-05:00,10.0,MS,USA,28125,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.49737652765,0.454668999086,0.377699375083,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,7689332435.666329,18.633935000000005,21.988050000000005,199.123543,3431.5512220000005,10.157516999999999,4.655779000000001,3.3057920000000003,2.0892630000000008,47.52073599999999,Default Unknown Fuel Type,0.0,0,-6.0
20170908_f112,20170908_f112,33.0909999785,-90.8269999823,WF,100.0,201709080000-05:00,10.0,MS,USA,28125,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.49737652765,0.454668999086,0.377699375083,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1103630092.0358207,4.658481,5.497014,49.78088200000001,857.887798,2.539376,1.163939,0.826452,0.522313,11.880187000000001,Default Unknown Fuel Type,0.0,0,-6.0
20170908_f113,20170908_f113,33.0699999786,-90.8399999823,WF,100.0,201709080000-05:00,10.0,MS,USA,28125,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.49737652765,0.454668999086,0.377699375083,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1103630092.0358207,4.658481,5.497014,49.78088200000001,857.887798,2.539376,1.163939,0.826452,0.522313,11.880187000000001,Default Unknown Fuel Type,0.0,0,-6.0
20170908_f114,20170908_f114,33.0699999786,-90.8099999823,WF,100.0,201709080000-05:00,10.0,MS,USA,28125,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.49737652765,0.454668999086,0.377699375083,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1103630092.0358207,4.658481,5.497014,49.78088200000001,857.887798,2.539376,1.163939,0.826452,0.522313,11.880187000000001,Default Unknown Fuel Type,0.0,0,-6.0
20170908_f115,20170908_f115,32.0529999773,-84.3749999781,WF,100.0,201709080000-04:00,10.0,GA,USA,13261,2810001000,1.2,0.84,0.25,0.5,0.0,0.0,2.0,0.09,1.0,1.0,0.02,7.0,8.0,9.0,12.0,80.0,40.0,6.74755082331,0.745880598229,0.267206072819,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,1659395042.285418,6.597183999999999,7.78468,69.73439800000001,1254.2746080000002,3.577271,1.724894,1.1595360000000003,0.7605400000000001,16.668442999999996,Loblolly pine - Slash pine forest,3.17,161,-5.0
20170908_f116,20170908_f116,31.8299999773,-83.3899999778,WF,70.0,201709080000-04:00,10.0,GA,USA,13315,2810001000,1.2,0.84,0.25,0.5,0.0,0.0,2.0,0.09,1.0,1.0,0.02,7.0,8.0,9.0,12.0,80.0,40.0,6.74755082331,0.745880598229,0.267206072819,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,1109943693.9170122,4.618030999999998,5.449275,48.81407799999999,877.99223,2.504092000000001,1.2074230000000001,0.8116880000000003,0.5323749999999998,11.667912999999999,Loblolly pine - Slash pine forest,3.17,161,-5.0
20170908_f117,20170908_f117,31.8299999772,-83.3599999778,WF,70.0,201709080000-04:00,10.0,GA,USA,13315,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.49737652765,0.454668999086,0.377699375083,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,738201109.3543551,3.260932,3.84791,34.846608999999994,600.5214709999999,1.7775670000000003,0.8147730000000001,0.5785210000000001,0.365629,8.316121000000003,Default Unknown Fuel Type,0.0,0,-5.0
20170908_f118,20170908_f118,32.4859999967,-85.846999997,WF,122.0,201709080000-05:00,10.0,AL,USA,01087,2810001000,0.1,0.2,1.5,1.5,1.5,0.0,1.9,0.01,1.0,1.0,0.0,7.0,8.0,9.0,12.0,80.0,40.0,15.7335156015,1.95762576327,0.872007034039,0.14628,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,18,5,8,4789379514.543103,19.715512,23.264281999999994,210.355923,3647.4933479999995,10.739035,4.9586179999999995,3.4930399999999997,2.2194029999999993,50.21257899999999,Willow oak - Laurel oak - Water oak forest,23.15,283,-6.0
20170908_f119,20170908_f119,33.4819999773,-91.3729999825,WF,100.0,201709080000-05:00,10.0,AR,USA,05017,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.49737652765,0.454668999086,0.377699375083,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1103630092.0358207,4.658481,5.497014,49.78088200000001,857.887798,2.539376,1.163939,0.826452,0.522313,11.880187000000001,Default Unknown Fuel Type,0.0,0,-6.0
20170908_f12,20170908_f12,46.1661452398,-115.496238319,WF,184.0,201709080000-07:00,10.0,ID,USA,16049,2810001000,0.3,1.2,2.5,12.0,7.0,0.0,1.11,0.14,14.2,1.2,0.06,7.0,8.0,9.0,12.0,80.0,40.0,22.3092947139,13.9895871641,11.4259617425,3.78399884055,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,18,5,8,12756631247.237225,107.66263399999998,127.04192199999997,1277.350543,13286.554798000003,61.82807000000001,14.180103000000003,20.901522000000003,8.605743000000002,300.45927300000005,Subalpine fir - Lodgepole pine - Whitebark pine - Engelmann spruce forest,9.55,70,-8.0
20170908_f120,20170908_f120,33.7709999774,-93.1639999842,WF,70.0,201709080000-05:00,10.0,AR,USA,05099,2810001000,1.2,0.84,0.25,0.5,0.0,0.0,2.0,0.09,1.0,1.0,0.02,7.0,8.0,9.0,12.0,80.0,40.0,6.74755082331,0.745880598229,0.267206072819,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,1109943693.9170122,4.618030999999998,5.449275,48.81407799999999,877.99223,2.504092000000001,1.2074230000000001,0.8116880000000003,0.5323749999999998,11.667912999999999,Loblolly pine - Slash pine forest,3.17,161,-6.0
20170908_f121,20170908_f121,34.389999978,-99.2339999916,WF,150.0,201709080000-05:00,10.0,OK,USA,40141,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.49737652765,0.454668999086,0.377699375083,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,1709717957.5890179,6.987727000000001,8.245512999999999,74.67131899999997,1286.8317130000003,3.8090729999999993,1.7459200000000001,1.23967,0.7834650000000002,17.820270999999998,Default Unknown Fuel Type,0.0,0,-6.0
20170908_f122,20170908_f122,34.2079999776,-96.4359999879,WF,100.0,201709080000-05:00,10.0,OK,USA,40005,2810001000,0.3,0.7,1.0,0.0,0.0,0.0,1.07,0.65,0.0,0.4,0.6,7.0,8.0,9.0,12.0,80.0,40.0,9.87968329887,0.777304519819,0.0952404976,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,2411994579.753645,8.643628000000003,10.199466999999999,89.27004900000003,1751.4037980000003,4.63507,2.4701010000000005,1.4894720000000001,1.053715,21.411157,Post oak - Blackjack oak forest,10.51,264,-6.0
20170908_f123,20170908_f123,33.4055003768,-90.1220000528,WF,200.0,201709080000-05:00,10.0,MS,USA,28015,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.49737652765,0.454668999086,0.377699375083,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,2468736711.747203,9.316971000000004,10.994014000000002,99.56176600000002,1715.7756100000004,5.078760999999999,2.327891000000001,1.6529,1.044627,23.760380000000005,Default Unknown Fuel Type,0.0,0,-6.0
20170908_f124,20170908_f124,32.609979853,-85.3062044144,WF,122.0,201709080000-05:00,10.0,AL,USA,01081,2810001000,0.6,0.9,1.5,0.4,0.0,0.0,3.78,0.12,1.0,0.9,0.03,7.0,8.0,9.0,12.0,80.0,40.0,17.7998531142,1.86201776777,0.770699080599,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,18,5,8,5392563297.437932,21.151177999999998,24.958375,223.40834899999996,4029.9043480000005,11.464970999999998,5.546881999999999,3.715243999999999,2.4429119999999993,53.406573,Chestnut oak - White oak - Red oak forest,13.68,275,-6.0
20170908_f125,20170908_f125,34.3769999968,-96.9159999984,WF,150.0,201709080000-05:00,10.0,OK,USA,40099,2810001000,0.0,0.0,0.0,0.0,0.0,0.0,0.13,2.39,0.0,0.0,0.92,7.0,8.0,9.0,12.0,80.0,40.0,4.87931244221,0.330747146393,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,1841050003.9219482,6.153356,7.2609650000000014,62.97467700000001,1276.5237069999998,3.285421000000001,1.816243,1.052159,0.7658699999999997,15.124874,Bluestem - Indian grass - Switchgrass grassland,0.64,131,-6.0
20170908_f126,20170908_f126,33.0999999757,-87.4859999791,WF,122.0,201709080000-05:00,10.0,AL,USA,01125,2810001000,0.4,0.7,1.4,1.8,1.8,0.0,0.6,0.19,1.2,2.0,0.06,7.0,8.0,9.0,12.0,80.0,40.0,11.7505585068,2.73808161824,1.12107446033,1.45664,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,18,5,8,3675793038.2350135,18.266993999999997,21.555066999999998,201.85827199999997,3020.843236999999,10.122256999999998,3.8967440000000004,3.335212999999999,1.8663019999999997,47.943587999999984,Red maple - Oak - Hickory - Sweetgum forest,12.15,180,-6.0
20170908_f127,20170908_f127,34.0390000097,-93.4625000279,WF,70.0,201709080000-05:00,10.0,AR,USA,05109,2810001000,0.5,0.5,1.0,3.0,1.0,0.5,0.57,0.06,0.0,0.75,0.02,7.0,8.0,9.0,12.0,80.0,40.0,14.9876851669,2.01823760707,0.798516148161,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,2479808533.366956,10.917095,12.882175,116.75805199999998,2005.4403239999997,5.953401000000001,2.717943,1.938146,1.221373,27.8609,West Gulf Coastal Plain mesic hardwood forest,21.52,406,-6.0
20170908_f128,20170908_f128,34.0445787439,-93.4836812335,WF,140.0,201709080000-05:00,10.0,AR,USA,05109,2810001000,0.5,0.5,1.0,3.0,1.0,0.5,0.57,0.06,0.0,0.75,0.02,7.0,8.0,9.0,12.0,80.0,40.0,14.9876851669,2.01823760707,0.798516148161,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,5305774786.582194,21.834207000000003,25.764362000000006,233.51610199999996,4010.8806640000003,11.906819999999998,5.4358960000000005,3.876299000000001,2.4427570000000007,55.721799999999995,West Gulf Coastal Plain mesic hardwood forest,21.52,406,-6.0
20170908_f129,20170908_f129,32.6091420489,-85.3209065276,WF,122.0,201709080000-05:00,10.0,AL,USA,01081,2810001000,0.6,0.9,1.5,0.4,0.0,0.0,3.78,0.12,1.0,0.9,0.03,7.0,8.0,9.0,12.0,80.0,40.0,17.7998531142,1.86201776777,0.770699080599,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,18,5,8,5392563297.437932,21.151177999999998,24.958375,223.40834899999996,4029.9043480000005,11.464970999999998,5.546881999999999,3.715243999999999,2.4429119999999993,53.406573,Chestnut oak - White oak - Red oak forest,13.68,275,-6.0
20170908_f13,20170908_f13,46.3899511796,-114.554827284,WF,414.0,201709080000-07:00,10.0,ID,USA,16049,2810001000,0.3,1.2,2.5,12.0,7.0,0.0,1.11,0.14,14.2,1.2,0.06,7.0,8.0,9.0,12.0,80.0,40.0,22.3092947139,13.9895871641,11.4259617425,3.78399884055,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,18,5,8,47258580527.8714,242.24095000000003,285.84433500000006,2874.0387210000004,29894.748301,139.113178,31.905234999999998,47.028408999999996,19.36293,676.0333639999999,Subalpine fir - Lodgepole pine - Whitebark pine - Engelmann spruce forest,9.55,70,-8.0
20170908_f130,20170908_f130,33.0599999767,-88.41999998,WF,100.0,201709080000-05:00,10.0,MS,USA,28103,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.49737652765,0.454668999086,0.377699375083,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1103630092.0358207,4.658481,5.497014,49.78088200000001,857.887798,2.539376,1.163939,0.826452,0.522313,11.880187000000001,Default Unknown Fuel Type,0.0,0,-6.0
20170908_f131,20170908_f131,33.3750000079,-90.2964998827,WF,200.0,201709080000-05:00,10.0,MS,USA,28083,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.49737652765,0.454668999086,0.377699375083,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,2468736711.747203,9.316971000000004,10.994014000000002,99.56176600000002,1715.7756100000004,5.078760999999999,2.327891000000001,1.6529,1.044627,23.760380000000005,Default Unknown Fuel Type,0.0,0,-6.0
20170908_f132,20170908_f132,32.8409999766,-87.2389999792,WF,122.0,201709080000-05:00,10.0,AL,USA,01007,2810001000,0.1,0.2,1.5,1.5,1.5,0.0,1.9,0.01,1.0,1.0,0.0,7.0,8.0,9.0,12.0,80.0,40.0,15.7335156015,1.95762576327,0.872007034039,0.14628,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,18,5,8,4789379514.543103,19.715512,23.264281999999994,210.355923,3647.4933479999995,10.739035,4.9586179999999995,3.4930399999999997,2.2194029999999993,50.21257899999999,Willow oak - Laurel oak - Water oak forest,23.15,283,-6.0
20170908_f133,20170908_f133,33.5990483231,-92.6919763289,WF,280.0,201709080000-05:00,10.0,AR,USA,05013,2810001000,1.2,0.84,0.25,0.5,0.0,0.0,2.0,0.09,1.0,1.0,0.02,7.0,8.0,9.0,12.0,80.0,40.0,6.74755082331,0.745880598229,0.267206072819,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,6198311869.427442,18.472116000000003,21.797101000000005,195.25632000000002,3511.9689180000005,10.016378000000001,4.829701,3.2467179999999995,2.129527,46.67165100000001,Loblolly pine - Slash pine forest,3.17,161,-6.0
20170908_f134,20170908_f134,33.592000084,-92.6639998347,WF,140.0,201709080000-05:00,10.0,AR,USA,05013,2810001000,1.2,0.84,0.25,0.5,0.0,0.0,2.0,0.09,1.0,1.0,0.02,7.0,8.0,9.0,12.0,80.0,40.0,6.74755082331,0.745880598229,0.267206072819,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,2374824986.070544,9.236048999999998,10.898547,97.62815099999999,1755.9844500000004,5.008197999999999,2.4148589999999994,1.623358,1.0647550000000001,23.335818999999997,Loblolly pine - Slash pine forest,3.17,161,-6.0
20170908_f135,20170908_f135,32.6029999771,-86.7619999791,WF,122.0,201709080000-05:00,10.0,AL,USA,01001,2810001000,0.4,0.7,1.4,1.8,1.8,0.0,0.6,0.19,1.2,2.0,0.06,7.0,8.0,9.0,12.0,80.0,40.0,11.7505585068,2.73808161824,1.12107446033,1.45664,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,18,5,8,3675793038.2350135,18.266993999999997,21.555066999999998,201.85827199999997,3020.843236999999,10.122256999999998,3.8967440000000004,3.335212999999999,1.8663019999999997,47.943587999999984,Red maple - Oak - Hickory - Sweetgum forest,12.15,180,-6.0
20170908_f136,20170908_f136,31.8579999968,-83.3759999969,WF,70.0,201709080000-04:00,10.0,GA,USA,13315,2810001000,0.1,0.2,0.2,0.1,0.0,0.0,0.24,0.12,0.0,0.4,0.08,7.0,8.0,9.0,12.0,80.0,40.0,3.09321271827,0.285017624639,0.0856141177048,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,506627709.700812,2.0078009999999997,2.3692050000000004,20.997895,393.343552,1.0831469999999996,0.54755,0.349713,0.23761300000000002,5.026932000000001,Longleaf pine / Turkey oak forest with prescribed fire,4.65,185,-5.0
20170908_f137,20170908_f137,31.8599999968,-83.3679999969,WF,70.0,201709080000-04:00,10.0,GA,USA,13315,2810001000,0.2,0.5,0.14,0.3,0.5,0.0,0.58,0.06,0.2,0.75,0.04,7.0,8.0,9.0,12.0,80.0,40.0,7.82757566291,0.814114726925,0.365958919864,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,1285592660.6465383,5.362831000000001,6.328137999999999,56.698399,1018.996276,2.9082429999999997,1.4010000000000002,0.9427559999999998,0.6179230000000001,13.552077999999998,Turkey oak - Bluejack oak forest,12.87,186,-5.0
20170908_f138,20170908_f138,31.8685255814,-83.3785224051,WF,210.0,201709080000-04:00,10.0,GA,USA,13315,2810001000,0.1,0.2,0.2,0.1,0.0,0.0,0.24,0.12,0.0,0.4,0.08,7.0,8.0,9.0,12.0,80.0,40.0,3.09321271827,0.285017624639,0.0856141177048,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,1810100836.7144659,6.023413000000001,7.107641,62.99368000000001,1180.0306369999998,3.2494329999999993,1.6426420000000002,1.0491139999999999,0.7128520000000002,15.080808000000003,Longleaf pine / Turkey oak forest with prescribed fire,4.65,185,-5.0
20170908_f139,20170908_f139,34.0819999966,-93.2219999977,WF,100.0,201709080000-05:00,10.0,AR,USA,05019,2810001000,1.2,0.84,0.25,0.5,0.0,0.0,2.0,0.09,1.0,1.0,0.02,7.0,8.0,9.0,12.0,80.0,40.0,6.74755082331,0.745880598229,0.267206072819,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,1659395042.285418,6.597183999999999,7.78468,69.73439800000001,1254.2746080000002,3.577271,1.724894,1.1595360000000003,0.7605400000000001,16.668442999999996,Loblolly pine - Slash pine forest,3.17,161,-6.0
